[2025-01-24T23:14:17.136+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T23:14:17.155+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 3
[2025-01-24T23:14:17.182+0000] {taskinstance.py:2888} INFO - Executing <Task(PreprocessDocuments): preprocess_documents_task> on 2025-01-24 23:12:54.176269+00:00
[2025-01-24T23:14:17.203+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=560) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-24T23:14:17.693+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-2-2.pdf already broken down into
[2025-01-24T23:14:17.693+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-3-3.pdf already broken down into
[2025-01-24T23:14:17.693+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-4-4.pdf already broken down into
[2025-01-24T23:14:17.694+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-5-5.pdf already broken down into
[2025-01-24T23:14:17.694+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-6-6.pdf already broken down into
[2025-01-24T23:14:17.694+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-7-7.pdf already broken down into
[2025-01-24T23:14:17.695+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-8-8.pdf already broken down into
[2025-01-24T23:14:17.695+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-9-9.pdf already broken down into
[2025-01-24T23:14:17.696+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-10-10.pdf already broken down into
[2025-01-24T23:14:17.696+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-11-11.pdf already broken down into
[2025-01-24T23:14:17.697+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-12-12.pdf already broken down into
[2025-01-24T23:14:17.697+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-13-13.pdf already broken down into
[2025-01-24T23:14:17.697+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-14-14.pdf already broken down into
[2025-01-24T23:14:17.698+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-15-15.pdf already broken down into
[2025-01-24T23:14:17.698+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-16-16.pdf already broken down into
